ID,BUSINESS_NAME,PROPERTY_ADDRESS,CITY,STATE,COUNTRY,FULL_ADDRESS,STATUS,NOTES
360,FOOTLOCKER #7916,4400 ASHFORD DUNWOODY RD 2305,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2305 DUNWOODY, GEORGIA USA",,
362,DSW SHOE WAREHOUSE #29071,4741 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4741 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
365,PANDORA JEWELRY,4400 ASHFORD DUNWOODY RD 1460,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1460 DUNWOODY, GEORGIA USA",,
376,CAMELOT JEWELERS INC,2484 MOUNT VERNON RD A,DUNWOODY,GEORGIA,USA,"2484 MOUNT VERNON RD A DUNWOODY, GEORGIA USA",,
379,CLAIRES #5063,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
380,ZALES JEWELRY STORE #289,4400 ASHFORD DUNWOODY RD 2500,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2500 DUNWOODY, GEORGIA USA",,
381,LUCKY BRAND DUNGAREES STORES,4400 ASHFORD DUNWOODY RD 2580,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2580 DUNWOODY, GEORGIA USA",,
382,H & A INTERNAT'L JEWELRY LTD,1820 INDEPENDENCE SQ C/D,DUNWOODY,GEORGIA,USA,"1820 INDEPENDENCE SQ C/D DUNWOODY, GEORGIA USA",,
383,HELZBERG DIAMONDS #148,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
384,JEWELRY ARTISANS,4500 OLDE PERIMETER WAY 200,DUNWOODY,GEORGIA,USA,"4500 OLDE PERIMETER WAY 200 DUNWOODY, GEORGIA USA",,
388,JARED GALLERIA OF JEWELRY #46,4503 ASHFORD DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4503 ASHFORD DUNWOODY RD DUNWOODY, GEORGIA USA",,
389,LEE BRANT JEWELERS INC,127 PERIMETER CENTER WES,DUNWOODY,GEORGIA,USA,"127 PERIMETER CENTER WES DUNWOODY, GEORGIA USA",,
396,PICAYUNE TOYS,2482 JETT FERRY RD 660,DUNWOODY,GEORGIA,USA,"2482 JETT FERRY RD 660 DUNWOODY, GEORGIA USA",,
397,GAMESTOP #4530,4400 ASHFORD DUNWOODY RD 1425,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1425 DUNWOODY, GEORGIA USA",,
400,ANDREWS AMP LAB INC,4511 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4511 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
402,GA PERIMETER COLLEGE BOOK #70,2101 WOMACK RD BLDG B,DUNWOODY,GEORGIA,USA,"2101 WOMACK RD BLDG B DUNWOODY, GEORGIA USA",,
404,BARNES & NOBLE BOOKSELLERS IN,120 PERIMETER CTR W 300,DUNWOODY,GEORGIA,USA,"120 PERIMETER CTR W 300 DUNWOODY, GEORGIA USA",,
406,NEWS NECESSITIES,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
